xxxx;;;;;;;;;;;;;;x
YES;拥有;Oui;Ja;;S?;;;;;;;;x,
STABHIT_FROM_MIL_ACCESS;拥有军事通行权;Dispose d'un acc鑣 militaire;Hat Milit鋜zugang;Maj?prawo przemarszu wojsk;Tiene acceso militar;ha l'accesso militare;Katonai hozz醘閞閟sel rendelkezik;M?vojensk?pstup;;;;;;x,,,,,
THEYATWAR;他们处于战争状态时，我们不能这样做。;Nous ne pouvons pas faire ceci lorsqu'ils sont en guerre.;Wir k鰊nen dies nicht tun, w鋒rend sie im Krieg sind.;Nie mo縠my tego zrobi? kiedy prowadz?oni wojn?;No podemos hacer esto mientras est閚 en guerra.;Non possiamo farlo mentre sono in guerra.;Am韌 h醔or鷅an 醠lnak, erre nincs lehet鮯間黱k;To nem鶠eme u鑙nit, dokud jsou ve v醠ce.;;;;;;x
MS_BAD_VERSION;错误的版本。请下载最新的补丁。;Mauvaise version. Veuillez t閘閏harger le dernier patch.;Falsche Version. Bitte installieren Sie das letzte Update von Paradox.;Z砤 wersja. Prosimy o pobranie najnowszego patcha.;Versi髇 err髇ea. Por favor, descarga el 鷏timo parche.;versione errata. Scarica l'ultima patch.;Rossz verzi? K閞em, t鰈tse le a leg鷍abb patchet.;妏atn?verze. St醜n靦e aktu醠n?opravn?soubor.;;;;;;x,,
dice;骰子;D?W黵fel;Rzut ko渃i?Dados;Dadi;Kocka;Kostka;;;;;;x,,,,,
OFFENSEDESCR;*;*;*;*;*;*;*;*;;;;;;x,,,,,
headline_tech;科研;TECHNOLOGIE;TECHNOLOGIE;;TECNOLOG虯;;;;;;;;;x,,,,,
headline_prod;生产;PRODUCTION;PRODUKTION;;PRODUCCI覰;;;;;;;;;x,,,,,
headline_diplo;外交;DIPLOMATIE;DIPLOMATIE;;DIPLOMACIA;;;;;;;;;x,,,,,
headline_politics;政治;POLITIQUE;POLITIK;;POL蚑ICA;;;;;;;;;x,,,,,
headline_espionage;情报;RENSEIGNEMENTS;AUFKL腞UNG;;INTELIGENCIA;;;;;;;;;x,,,,,
CREATE_WAVES;创建;Cr閍tion de vagues;Wellen schlagen;;Creaci髇 de ondas;;;;;;;;;x,,,,,
annexation_of_austria;德奥合并;;;;;;;;;;;;;x,,,,,
bessarabia_to_the_soviet;割让比萨拉比亚给苏联;;;;;;;;;;;;;x,,,,,
bulgarian_claims_for_constanta;保加利亚要求康斯坦萨;;;;;;;;;;;;;x,,,,,
british_intervention_spanish_civil_war;西班牙内战-英国干涉;;;;;;;;;;;;;x,,,,,
claims_on_memel;要求梅梅尔;;;;;;;;;;;;;x,,,,,
croatia_independent;克罗地亚独立;;;;;;;;;;;;;x,,,,,
claims_on_bessarabia;要求比萨拉比亚;;;;;;;;;;;;;x,,,,,
chinese_alliance_against_the_soviet;抗苏统一战线;;;;;;;;;;;;;x,,,,,
czechoslovakia_annexed;吞并捷克斯洛伐克;;;;;;;;;;;;;x,,,,,
defend_peruvian_territory;保卫秘鲁的领土;;;;;;;;;;;;;x,,,,,
destruction_of_the_french_fleet;摧毁法国舰队;;;;;;;;;;;;;x,,,,,
first_vienna_award;第一次维也纳仲裁;;;;;;;;;;;;;x,,,,,
first_vienna_award_hungary;第一次维也纳仲裁-匈牙利;;;;;;;;;;;;;x,,,,,
finnish_winter_war_has_begun;芬兰冬季战争开始;;;;;;;;;;;;;x,,,,,
french_intervention_spanish_civil_war;西班牙内战-法国干涉;;;;;;;;;;;;;x,,,,,
german_intervention_spanish_civil_war;西班牙内战-德国干涉;;;;;;;;;;;;;x,,,,,
guarantee_the_independence_of_poland;保障波兰独立;;;;;;;;;;;;;x,,,,,
indochine_to_japan;日本占领印度支那;;;;;;;;;;;;;x,,,,,
industry_transfered_to_siberia_v1;转移部分工业至西伯利亚1;;;;;;;;;;;;;x,,,,,
industry_transfered_to_siberia_v2;转移部分工业至西伯利亚2;;;;;;;;;;;;;x,,,,,
industry_transfered_to_siberia_v3;转移部分工业至西伯利亚3;;;;;;;;;;;;;x,,,,,
italian_intervention_spanish_civil_war;西班牙内战-意大利干涉;;;;;;;;;;;;;x,,,,,
japan_demands_bases_in_indochina;日本要求印度支那;;;;;;;;;;;;;x,,,,,
japanese_pressure_on_siam;日本向暹罗施压;;;;;;;;;;;;;x,,,,,
lend_lease_act;租借法案;;;;;;;;;;;;;x,,,,,
mol_rib_pact;莫洛托夫-里宾特洛甫协定;;;;;;;;;;;;;x,,,,,
nd;罗斯福新政;;;;;;;;;;;;;x,,,,,
russian_intervention_spanish_civil_war;西班牙内战-苏联干涉;;;;;;;;;;;;;x,,,,,
return_of_danzig_or_war;但泽或战争;;;;;;;;;;;;;x,,,,,
swedish_materiel_and_volunteers;瑞典的志愿军与军备物资;;;;;;;;;;;;;x,,,,,
soviet_accepts_mol_rib_pact;苏联接受莫洛托夫-里宾特洛甫协定;;;;;;;;;;;;;x,,,,,
second_vienna_award;第二次维也纳仲裁;;;;;;;;;;;;;x,,,,,
the_treaty_of_munich_sudetenland;慕尼黑协定-苏台德;;;;;;;;;;;;;x,,,,,
treaty_of_munich;慕尼黑协定;;;;;;;;;;;;;x,,,,,
the_finnish_winter_war;芬兰冬季战争;;;;;;;;;;;;;x,,,,,
the_finnish_winter_war_intervention;芬兰冬季战争-干涉;;;;;;;;;;;;;x,,,,,
the_finnish_winter_war_direct_intervention;芬兰冬季战争-直接干涉;;;;;;;;;;;;;x,,,,,
the_molotov_ribbentrop_pact;莫洛托夫-里宾特洛甫协定;;;;;;;;;;;;;x,,,,,
the_reoccupation_of_the_rhineland;进军莱茵兰;;;;;;;;;;;;;x,,,,,
the_great_officer_purge;大清洗;;;;;;;;;;;;;x,,,,,
the_destroyers_for_bases_agreement;驱逐舰换基地;;;;;;;;;;;;;x,,,,,
the_annexation_of_albania;吞并阿尔巴尼亚;;;;;;;;;;;;;x,,,,,
ultimatum_to_baltic_states;向波罗的海三国发出最后通牒;;;;;;;;;;;;;x,,,,,
ultimatum_to_greece;向希腊发出最后通牒;;;;;;;;;;;;;x,,,,,
us_occuption_of_iceland_and_greenland;控制格陵兰与冰岛;;;;;;;;;;;;;x,,,,,
us_gear_up_for_war;美国战争动员;;;;;;;;;;;;;x,,,,,
Imperial;帝国;;;;;;;;;;;;;x,,,,,
ACEEPTED;同意;;;;;;;;;;;;;x,,,,,
