xxxx;;;;;;;;;;;;;;x
fascistic_ROM;ÌúÎÀ¶Ó;Garda de Fier;Garda de Fier;;Garda de Fier;;;;;;;;;;x
paternal_autocrat_ROM;Ãñ×å¸´ĞËÕóÏß;FRN;FRN;;FRN;;;;;;;;;;x
social_conservative_ROM;PNC;PNC;PNC;;PNC;;;;;;;;;;x
market_liberal_ROM;Ãñ×å×ÔÓÉµ³;PNL;PNL;;PNL;;;;;;;;;;x
social_liberal_ROM;PNT;PNT;PNT;;PNT;;;;;;;;;;x
social_democrat_ROM;ÂŞÂíÄáÑÇÉç»áÃñÖ÷µ³;PSDR;PSDR;;PSDR;;;;;;;;;;x
left_wing_radical_ROM;Éç»áÃñÖ÷µ³;PSDI;PSDI;;PSDI;;;;;;;;;;x
leninist_ROM;Éç»áµ³;PSR;PSR;;PSR;;;;;;;;;;x
stalinist_ROM;¹²²úµ³;PCR;PCR;;PCR;;;;;;;;;;x
national_socialist_RSI;¹ú¼ÒÉç»áÖ÷Òå°®¶ûÀ¼¹¤ÈËµ³;NSIWP;NSIWP;;NSIWP;;;;;;;;;;x
fascistic_RSI;°®¶ûÀ¼·¨Î÷Ë¹;PFR;PFR;;PFR;;;;;;;;;;x
paternal_autocrat_RSI;ANI;ANI;ANI;;ANI;;;;;;;;;;x
social_conservative_RSI;IPP;IPP;IPP;;IPP;;;;;;;;;;x
market_liberal_RSI;PRI;PRI;PRI;;PRI;;;;;;;;;;x
social_liberal_RSI;ARV;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_RSI;PSU;PSU;PSU;;PSU;;;;;;;;;;x
left_wing_radical_RSI;FN;FN;FN;;FN;;;;;;;;;;x
leninist_RSI;PTI;PTI;PTI;;PTI;;;;;;;;;;x
stalinist_RSI;PCI;PCI;PCI;;PCI;;;;;;;;;;x
national_socialist_SAL;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Moviemento de Nacional Socialista;Moviemento de Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_SAL;Èø¶ûÍß¶à³¤Ç¹µ³;Falange de El Salvador;Falange de El Salvador;;Falange de El Salvador;;;;;;;;;;x
paternal_autocrat_SAL;Ãñ×åµ³;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x
social_conservative_SAL;Ãñ×åÖ÷Òå¹²ºÍÁªÃË;ARENA;ARENA;;ARENA;;;;;;;;;;x
market_liberal_SAL;Ãñ×å×ÔÓÉµ³;Partido Nacional Liberal;Partido Nacional Liberal;;Partido Nacional Liberal;;;;;;;;;;x
social_liberal_SAL;ÃñÖ÷ÁªºÏÖĞĞÄ;Centro Democr¨¢tico Unido;Centro Democr¨¢tico Unido;;Centro Democr¨¢tico Unido;;;;;;;;;;x
social_democrat_SAL;Éç»áÃñÖ÷µ³;Partido Social Dem¨®crata;Partido Social Dem¨®crata;;Partido Social Dem¨®crata;;;;;;;;;;x
left_wing_radical_SAL;FMLN;FMLN;FMLN;;FMLN;;;;;;;;;;x
leninist_SAL;ÈËÃñ¸ïÃü¾ü;Ej¨¦rcito Revolucionario del Pueblo;Ej¨¦rcito Revolucionario del Pueblo;;Ej¨¦rcito Revolucionario del Pueblo;;;;;;;;;;x
stalinist_SAL;Èø¶ûÍß¶à¹²²úµ³;Partido Comunista de El Salvador;Partido Comunista de El Salvador;;Partido Comunista de El Salvador;;;;;;;;;;x
national_socialist_SAU;°¢À­²®¹úÉçµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista ¨¢rabe;;;;;;;;;;x
fascistic_SAU;°¢À­²®·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista ¨¢rabe;;;;;;;;;;x
paternal_autocrat_SAU;The Sauds;Les Saouds;Die Saudis;;Los Sauds;;;;;;;;;;x
social_conservative_SAU;ÄÂË¹ÁÖĞÖµÜ»á;Les fr¨¨res musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_SAU;¸Ä¸ïµ³;Parti r¨¦formiste;Reformpartei;;Partido Reformista;;;;;;;;;;x
social_liberal_SAU;°¢À­²®ÃñÖ÷ÁªÃËµ³ ;Parti unioniste d¨¦mocrate arabe;Demokratische Einheitspartei Arabiens;;Partido ¨¢rabe Unionista Democr¨¢tico ;;;;;;;;;;x
social_democrat_SAU;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Uni¨®n Socialista ¨¢rabe;;;;;;;;;;x
left_wing_radical_SAU;°¢À­²® Popular Party;Parti populaire arabe;Arabische Volkspartei;;Partido Popular ¨¢rabe;;;;;;;;;;x
leninist_SAU;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_SAU;É³ÌØ°¢À­²®¹²²úµ³;Parti communiste d'Arabie Saoudite;Kommunistische Partei Saudi-Arabiens;;Partido Comunista de Arabia Saud¨ª;;;;;;;;;;x
national_socialist_SCH;Áª°î×ÔÓÉµ³;Eidgen?ssische Sammlung;Eidgen?ssische Sammlung;;Eidgen?ssische Sammlung;;;;;;;;;;x
fascistic_SCH;NF;NF;NF;;NF;;;;;;;;;;x
paternal_autocrat_SCH;KKP;KKP;KKP;;KKP;;;;;;;;;;x
social_conservative_SCH;BGB;BGB;BGB;;BGB;;;;;;;;;;x
market_liberal_SCH;LPS;LPS;LPS;;LPS;;;;;;;;;;x
social_liberal_SCH;FDP;FDP;FDP;;FDP;;;;;;;;;;x
social_democrat_SCH;SP;SP;SP;;SP;;;;;;;;;;x
left_wing_radical_SCH;FSS;FSS;FSS;;FSS;;;;;;;;;;x
leninist_SCH;KPS-O;KPS-O;KPS-O;;KPS-O;;;;;;;;;;x
stalinist_SCH;KPS;KPS;KPS;;KPS;;;;;;;;;;x
national_socialist_SIA;¹úÉçµ³;Parti national socialiste ;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_SIA;·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_SIA;Khana Ratsadon;Khana Ratsadon;Khana Ratsadon;;Khana Ratsadon;;;;;;;;;;x
social_conservative_SIA;ÃñÖ÷µ³;Parti d¨¦mocrate;Demokratische Partei;;Partido Dem¨®crata;;;;;;;;;;x
market_liberal_SIA;×ÔÓÉµ³;Parti lib¨¦ral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_SIA;Khabuankarn Seri Thai;Khabuankarn Seri Thai;Khabuankarn Seri Thai;;Khabuankarn Seri Thai;;;;;;;;;;x
social_democrat_SIA;Éç»áÃñÖ÷µ³;Parti social d¨¦mocrate;Sozialdemokratische Partei;;Partido Socialdem¨®crata;;;;;;;;;;x
left_wing_radical_SIA;¸ïÃüµ³;Parti r¨¦volutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_SIA;¹¤Å©µ³;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_SIA;åßÂŞ¹²²úµ³;Parti communiste du Siam;Kommunistische Partei Siams;;Partido Comunista de Siam;;;;;;;;;;x
national_socialist_SIK;¹úÉçµ³;Parti national socialiste ;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_SIK;·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_SIK;¹ú¼Òµ³;Parti national;Nationalpartei;;Partido Nacional;;;;;;;;;;x
social_conservative_SIK;±£ÊØµ³;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_SIK;×ÔÓÉµ³;Parti lib¨¦ral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_SIK;Éç»á×ÔÓÉµ³;Parti social lib¨¦ral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_SIK;Éç»áÃñÖ÷µ³;Parti social d¨¦mocrate;Sozialdemokratische Partei;;Partido Socialdem¨®crata;;;;;;;;;;x
left_wing_radical_SIK;¸ïÃüµ³;Parti r¨¦volutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_SIK;¹¤Å©µ³;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_SIK;ĞÂ½®¹²²úµ³;Parti communiste de Sinkiang;Kommunistische Partei Xinjiangs;;Partido Comunista de Xinjiang;;;;;;;;;;x
national_socialist_SLO;Ï£Äş¿¨ÎÀ¶Ó;Hlinkova garda;Hlinkova garda;;Hlinkova garda;;;;;;;;;;x
fascistic_SLO;Ï£Äş¿¨Ë¹Âå·¥¿Ë¶ÀÁ¢µ³;Hlinkova slovensk¨¢ Iudov¨¢ strana;Hlinkova slovensk¨¢ Iudov¨¢ strana;;Hlinkova slovensk¨¢ Iudov¨¢ strana;;;;;;;;;;x
paternal_autocrat_SLO;Ë¹Âå·¥¿ËÃñ×åµ³;Slovensk¨¢ n¨¢rodn¨¢ strana;Slovensk¨¢ n¨¢rodn¨¢ strana;;Slovensk¨¢ n¨¢rodn¨¢ strana;;;;;;;;;;x
social_conservative_SLO;Freedom;Strana slobody;Strana slobody;;Strana slobody;;;;;;;;;;x
market_liberal_SLO;×ÔÓÉµ³;Liberalna stranka;Liberalna stranka;;Liberalna stranka;;;;;;;;;;x
social_liberal_SLO;ÃñÖ÷µ³;Demokratska stranka;Demokratska stranka;;Demokratska stranka;;;;;;;;;;x
social_democrat_SLO;Ë¹Âå·¥¿ËÉç»áÃñÖ÷µ³;Soci¨¢lnodemokratick¨¢ strana Slovenska;Soci¨¢lnodemokratick¨¢ strana Slovenska;;Soci¨¢lnodemokratick¨¢ strana Slovenska;;;;;;;;;;x
left_wing_radical_SLO;¹¤µ³;Strana pr¨¢ce;Strana pr¨¢ce;;Strana pr¨¢ce;;;;;;;;;;x
leninist_SLO;Ë¹Âå·¥¿Ë¸´ĞËµ³;Strana slovenskej obrody;Strana slovenskej obrody;;Strana slovenskej obrody;;;;;;;;;;x
stalinist_SLO;Ë¹Âå·¥¿Ë¹²²úµ³;Komunistick¨¢ strana Slovenska;Komunistick¨¢ strana Slovenska;;Komunistick¨¢ strana Slovenska;;;;;;;;;;x
national_socialist_SOV;POA;POA;POA;;POA;;;;;;;;;;x
fascistic_SOV;¶íÂŞË¹Éç»áÁ¬´øÖ÷ÒåÃñ×åÁªÃË;NTS;NTS;;NTS;;;;;;;;;;x
paternal_autocrat_SOV;ROA;ROA;ROA;;ROA;;;;;;;;;;x
social_conservative_SOV;Ê®ÔÂµ³;Octobrist;Octobrist;;Octobrist;;;;;;;;;;x
market_liberal_SOV;Á¢ÏÜÃñÖ÷µ³;Kadets;Kadets;;Kadets;;;;;;;;;;x
social_liberal_SOV;¹¤µ³;Trudoviks;Trudoviks;;Trudoviks;;;;;;;;;;x
social_democrat_SOV;Éç»á¸ïÃüµ³;Parti socialiste-r¨¦volutionnaire;Sozialistische Revolutionspartei;;Partido Social Revolucionario ;;;;;;;;;;x
left_wing_radical_SOV;²¼ÅÉ·´¸ïÃü;Contre-r¨¦volutionnaires bukharinites;Bukharinite Konterrevolution?re;;Contrarrevolucionarios Bukharinitas;;;;;;;;;;x
leninist_SOV;ÍĞÅÉ·´¸ïÃü;Contre-r¨¦volutionnaires trotskytes;Trotskyite Konterrevolution?re;;Contrarrevolucionarios Trotskistas;;;;;;;;;;x
stalinist_SOV;¹²²úµ³;Parti communiste ;Kommunistische Partei;;Partido Comunista;;;;;;;;;;x
national_socialist_SPA;´«Í³³¤Ç¹µ³;Falange Tradicionalista;Falange Tradicionalista;;Falange Tradicionalista;;;;;;;;;;x
fascistic_SPA;³¤Ç¹µ³;Falange;Falange;;Falange;;;;;;;;;;x
paternal_autocrat_SPA;´«Í³×Ú½Ì;Communion Tradicionalista;Communion Tradicionalista;;Comuni¨®n Tradicionalista;;;;;;;;;;x
social_conservative_SPA;×ÔÖÎÁªÃË;Confederacion de Derechas Autonomas;Confederacion de Derechas Autonomas;;Confederaci¨®n de Derechas Aut¨®nomas;;;;;;;;;;x
market_liberal_SPA;¹²ºÍÁªÃË;Union Republicana;Union Republicana;;Uni¨®n Republicana;;;;;;;;;;x
social_liberal_SPA;×óÒí¹²ºÍµ³ ;Izquierda Republicana ;Izquierda Republicana ;;Izquierda Republicana ;;;;;;;;;;x
social_democrat_SPA;Î÷°àÑÀÉç»á¹¤ÈËµ³ ;Partido Socialista Obrero de Espana ;Partido Socialista Obrero de Espana ;;Partido Socialista Obrero de Espa?a ;;;;;;;;;;x
left_wing_radical_SPA;¹ú¼Ò¹¤ÈËÁªºÏ;Confederacion Nacional de Trabajo;Confederacion Nacional de Trabajo;;Confederaci¨®n Nacional de Trabajo;;;;;;;;;;x
leninist_SPA;Âí¿ËË¼Ö÷ÒåÁªºÏ¹¤ÈËµ³ ;Parti do Obrero de Unification Marxista ;Parti do Obrero de Unification Marxista ;;Partido Obrero de Unification Marxista ;;;;;;;;;;x
stalinist_SPA;Î÷°àÑÀ¹²²úµ³;Partido Communista de Espana;Partido Communista de Espana;;Partido Comunista de Espa?a;;;;;;;;;;x
national_socialist_SPR;´«Í³³¤Ç¹µ³;Falange Tradicionalista;Falange Tradicionalista;;Falange Tradicionalista;;;;;;;;;;x
fascistic_SPR;³¤Ç¹µ³;Falange;Falange;;Falange;;;;;;;;;;x
paternal_autocrat_SPR;´«Í³×Ú½Ì;Communion Tradicionalista;Communion Tradicionalista;;Comuni¨®n Tradicionalista;;;;;;;;;;x
social_conservative_SPR;×ÔÖÎÁªÃË;Confederacion de Derechas Autonomas;Confederacion de Derechas Autonomas;;Confederaci¨®n de Derechas Aut¨®nomas;;;;;;;;;;x
market_liberal_SPR;¹²ºÍÁªÃË;Union Republicana;Union Republicana;;Uni¨®n Republicana;;;;;;;;;;x
social_liberal_SPR;×óÒí¹²ºÍµ³;Izquierda Republicana ;Izquierda Republicana ;;Izquierda Republicana ;;;;;;;;;;x
social_democrat_SPR;Î÷°àÑÀÉç»á¹¤ÈËµ³;Partido Socialista Obrero de Espana ;Partido Socialista Obrero de Espana ;;Partido Socialista Obrero de Espa?a ;;;;;;;;;;x
left_wing_radical_SPR;¹ú¼Ò¹¤ÈËÁªºÏ;Confederacion Nacional de Trabajo;Confederacion Nacional de Trabajo;;Confederaci¨®n Nacional de Trabajo;;;;;;;;;;x
leninist_SPR;Âí¿ËË¼Ö÷ÒåÁªºÏ¹¤ÈËµ³;Parti do Obrero de Unification Marxista ;Parti do Obrero de Unification Marxista ;;Partido Obrero de Unification Marxista ;;;;;;;;;;x
stalinist_SPR;Î÷°àÑÀ¹²²úµ³;Partido Communista de Espana;Partido Communista de Espana;;Partido Comunista de Espa?a;;;;;;;;;;x
national_socialist_SYR;°¢À­²®¹úÉçµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista ¨¢rabe;;;;;;;;;;x
fascistic_SYR;°¢À­²®·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista ¨¢rabe;;;;;;;;;;x
paternal_autocrat_SYR;¹şÉ£Íõ×å;Les Hach¨¦mites;Die Hashemiten;;Los Hashemitas;;;;;;;;;;x
social_conservative_SYR;ÄÂË¹ÁÖĞÖµÜ»á;Fr¨¨res musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_SYR;¸Ä¸ïµ³;Parti r¨¦formiste;Reformpartei;;Partido Reformista;;;;;;;;;;x
social_liberal_SYR;°¢À­²®ÃñÖ÷ÁªÃËµ³ ;Parti unioniste d¨¦mocratique arabe;Demokratische Einheitspartei Arabiens;;Partido ¨¢rabe Unionista Democr¨¢tico ;;;;;;;;;;x
social_democrat_SYR;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Sozialistische Union Arabiens;;Uni¨®n Socialista ¨¢rabe;;;;;;;;;;x
left_wing_radical_SYR;°¢À­²®¹¤ÈËµ³;Parti des travailleurs arabes;Arabischer Arbeiterpartei;;Partido de los Trabajadores ¨¢rabes;;;;;;;;;;x
leninist_SYR;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_SYR;ĞğÀûÑÇ¹²²úµ³;Parti communiste syrien;Kommunistische Partei Syriens;;Partido Comunista de Siria;;;;;;;;;;x
national_socialist_SWE;¹ú¼ÒÉç»áÖ÷Òå¹¤ÈËµ³;Nationalsocialistiska Arbetarepartiet;Nationalsocialistiska Arbetarepartiet;;Nationalsocialistiska Arbetarepartiet;;;;;;;;;;x
fascistic_SWE;¹ú¼ÒÉç»áÖ÷Òå²úÒµ¹¤ÈËÁªÃË;SFKO;SFKO;;SFKO;;;;;;;;;;x
paternal_autocrat_SWE;ÈğµäÃñ×åÍ¬ÃË;Sveriges Nationella F?rbund;Sveriges Nationella F?rbund;;Sveriges Nationella F?rbund;;;;;;;;;;x
social_conservative_SWE;ÓÒÒíµ³ÅÉ;H?gerpartiet;H?gerpartiet;;H?gerpartiet;;;;;;;;;;x
market_liberal_SWE;×ÔÓÉµ³;Liberalerna;Liberalerna;;Liberalerna;;;;;;;;;;x
social_liberal_SWE;ÖĞÑëµ³;Bondef?rbundet;Bondef?rbundet;;Bondef?rbundet;;;;;;;;;;x
social_democrat_SWE;Éç»áÃñÖ÷µ³;Social Demokraterna;Social Demokraterna;;Social Demokraterna;;;;;;;;;;x
left_wing_radical_SWE;Éç»áµ³;Socialistiska Partiet;Socialistiska Partiet;;Socialistiska Partiet;;;;;;;;;;x
leninist_SWE;×óÒíÉç»áµ³;V?nstersocialistiska Partiet;V?nstersocialistiska Partiet;;V?nstersocialistiska Partiet;;;;;;;;;;x
stalinist_SWE;Èğµä¹²²úµ³;Sveriges Kommunistiska Parti;Sveriges Kommunistiska Parti;;Sveriges Kommunistiska Parti;;;;;;;;;;x
national_socialist_TAN;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_TAN;·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_TAN;Í¼ÍßÃñ×åµ³;Parti national de Touva;Nationalpartei Tuwan;;Partido Nacional Tuvano;;;;;;;;;;x
social_conservative_TAN;±£ÊØµ³;Parti conservateur;Konservative Partei;;Partido Conservador;;;;;;;;;;x
market_liberal_TAN;×ÔÓÉÁªÃË;Union lib¨¦rale;Liberale Union;;Uni¨®n Liberal;;;;;;;;;;x
social_liberal_TAN;Éç»á×ÔÓÉµ³;Parti social lib¨¦ral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_TAN;Éç»áÃñÖ÷µ³;Parti social d¨¦mocratique;Sozialdemokratische Partei;;Partido Socialdem¨®crata;;;;;;;;;;x
left_wing_radical_TAN;Éç»á¸ïÃüµ³;Parti social r¨¦volutionnaire;Soziale Revolutionspartei;;Partido Social Revolucionario;;;;;;;;;;x
leninist_TAN;Éç»á¹¤ÈËµ³;Parti des travailleurs socialistes;Sozialistische Arbeiterpartei;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_TAN;Í¼ÍßÈËÃñ¸ïÃüµ³;Parti populaire r¨¦volutionnaire de Touva;Revolutionspartei des tuwanischen Volkes;;Partido Revolucionario del Pueblo Tuvano;;;;;;;;;;x
national_socialist_TIB;¹úÉçµ³;Parti national socialiste;Nationalsozialistische Partei;;Partido Nacionalsocialista;;;;;;;;;;x
fascistic_TIB;·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste;Faschistische Front;;Frente Fascista;;;;;;;;;;x
paternal_autocrat_TIB;¸ñÂ³ÅÉ;Gelug-pa;Gelug-pa;;Gelug-pa;;;;;;;;;;x
social_conservative_TIB;ÄşÂêÅÉ;Nyingma;Nyingma;;Nyingma;;;;;;;;;;x
market_liberal_TIB;×ÔÓÉµ³;Parti lib¨¦ral ;Liberale Partei;;Partido Liberal;;;;;;;;;;x
social_liberal_TIB;Éç»á×ÔÓÉµ³;Parti social lib¨¦ral;Sozialliberale Partei;;Partido Social Liberal;;;;;;;;;;x
social_democrat_TIB;Éç»áÃñÖ÷µ³;Parti social d¨¦mocrate;Sozialdemokratische Partei;;Partido Socialdem¨®crata;;;;;;;;;;x
left_wing_radical_TIB;¸ïÃüµ³;Parti r¨¦volutionnaire;Revolutionspartei;;Partido Revolucionario;;;;;;;;;;x
leninist_TIB;¹¤Å©µ³;Parti des travailleurs et des paysans;Arbeiter- und Bauernpartei;;Partido de los Trabajadores y los Campesinos;;;;;;;;;;x
stalinist_TIB;Î÷²Ø¹²²úµ³;Parti communiste tib¨¦tain;Kommunistische Partei Tibets;;Partido Comunista del T¨ªbet;;;;;;;;;;x
national_socialist_TUR;Î¨ĞÄÖ÷ÒåÔË¶¯;¨¹lk¨¹c¨¹ Hareket;¨¹lk¨¹c¨¹ Hareket;;¨¹lk¨¹c¨¹ Hareket;;;;;;;;;;x
fascistic_TUR;»ÒÀÇµ³;Bozkurtlar;Bozkurtlar;;Bozkurtlar;;;;;;;;;;x
paternal_autocrat_TUR;¹²ºÍÈËÃñµ³;Cumhuriyet Halk Partisi;Cumhuriyet Halk Partisi;;Cumhuriyet Halk Partisi;;;;;;;;;;x
social_conservative_TUR;Ãñ×åµ³;Millet Partisi;Millet Partisi;;Millet Partisi;;;;;;;;;;x
market_liberal_TUR;ÃñÖ÷µ³;Demokrat Parti;Demokrat Parti;;Demokrat Parti;;;;;;;;;;x
social_liberal_TUR;×ÔÓÉ¹²ºÍµ³;Serbest Cumhuriyet Partisi;Serbest Cumhuriyet Partisi;;Serbest Cumhuriyet Partisi;;;;;;;;;;x
social_democrat_TUR;ÍÁ¶úÆä¹¤ÈËµ³;T¨¹rkiye Is?i Partisi;T¨¹rkiye Is?i Partisi;;T¨¹rkiye Is?i Partisi;;;;;;;;;;x
left_wing_radical_TUR;¹¤µ³;Emek Partisi;Emek Partisi;;Emek Partisi;;;;;;;;;;x
leninist_TUR;¸ïÃüÉç»á¹¤ÈËµ³;FMP;Devrimci Sosyalist Is?i Partisi;;FMP;;;;;;;;;;x
stalinist_TUR;ÍÁ¶úÆä¹²²úµ³;PCP;T¨¹rkiye Kom¨¹nist Partisi;;PCP;;;;;;;;;;x
national_socialist_URU;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_URU;ÎÚÀ­¹ç³¤Ç¹µ³;Falange del Uruguay;Falange del Uruguay;;Falange del Uruguay;;;;;;;;;;x
paternal_autocrat_URU;ºìµ³,;Partido Colorado,;Partido Colorado,;;Partido Colorado;;;;;;;;;;x
social_conservative_URU;±£ÊØµ³;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_URU;×ÔÓÉµ³;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;x
social_liberal_URU;°×µ³;Partido Blanco;Partido Blanco;;Partido Blanco;;;;;;;;;;x
social_democrat_URU;ÎÚÀ­¹çÉç»áµ³;Partido Socialista del Uruguay;Partido Socialista del Uruguay;;Partido Socialista del Uruguay;;;;;;;;;;x
left_wing_radical_URU;´óÖÚ²ÎÓëÔË¶¯;Movimiento de Participaci¨®n Popular;Movimiento de Participaci¨®n Popular;;Movimiento de Participaci¨®n Popular;;;;;;;;;;x
leninist_URU;¹¤µ³;Partido Obrero;Partido Obrero;;Partido Obrero;;;;;;;;;;x
stalinist_URU;ÎÚÀ­¹ç¹²²úµ³;Partido Comunista del Uruguay;Partido Comunista del Uruguay;;Partido Comunista del Uruguay;;;;;;;;;;x
national_socialist_USA;µÂÃÀÍ¬ÃË;F¨¦d¨¦ration germano-am¨¦ricaine;German-American Bund;;Grupo Germano-americano;;;;;;;;;;x
fascistic_USA;ÒøÉÀ¾ü;L¨¦gion d'argent am¨¦ricaine;Silver Legion of America;;Legi¨®n Plateada de Am¨¦rica;;;;;;;;;;x
paternal_autocrat_USA;ÃÀ¹úµÚÒ»Î¯Ô±»á;Premier comit¨¦ am¨¦ricain;America First Committee;;Primer Comit¨¦ de Am¨¦rica;;;;;;;;;;x
social_conservative_USA;¹²ºÍµ³;Parti r¨¦publicain;Republican Party;;Partido Republicano;;;;;;;;;;x
market_liberal_USA;½ø²½µ³;Parti progressiste;Progressive Party;;Partido Progresista;;;;;;;;;;x
social_liberal_USA;ÃñÖ÷µ³;Parti d¨¦mocrate;Democrat Party;;Partido Dem¨®crata;;;;;;;;;;x
social_democrat_USA;ÃñÖ÷Å©ÒµÀÍ¶¯µ³;Parti d¨¦mocratique agricole et travailliste;Democratic Farm-Labor Party;;Partido Democr¨¢tico Laborista Campesino;;;;;;;;;;x
left_wing_radical_USA;Éç»áµ³;Parti socialiste;Socialist Party;;Partido Socialista;;;;;;;;;;x
leninist_USA;Éç»á¹¤ÈËµ³;Parti des travailleurs socialistes;Socialist Workers Party;;Partido de los Trabajadores Socialistas;;;;;;;;;;x
stalinist_USA;¹²²úµ³;Parti communiste ;Communist Party;;Partido Comunista;;;;;;;;;;x
national_socialist_VEN;¹ú¼ÒÉç»áÖ÷ÒåÔË¶¯;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x
fascistic_VEN;Î¯ÄÚÈğÀ­³¤Ç¹µ³;Falange de Venezuela;Falange de Venezuela;;Falange de Venezuela;;;;;;;;;;x
paternal_autocrat_VEN;Î¯ÄÚÈğÀ­Éç»á»ù¶½½Ìµ³;COPEI;COPEI;;COPEI;;;;;;;;;;x
social_conservative_VEN;±£ÊØµ³;Partido Conservador;Partido Conservador;;Partido Conservador;;;;;;;;;;x
market_liberal_VEN;Î¯ÄÚÈğÀ­Î°´ó×ÔÓÉµ³;Gran Partido Liberal de Venezuela;Gran Partido Liberal de Venezuela;;Gran Partido Liberal de Venezuela;;;;;;;;;;x
social_liberal_VEN;Î¯ÄÚÈğÀ­ÃñÖ÷µ³;Partido Democr¨¢tico Venezolano;Partido Democr¨¢tico Venezolano;;Partido Democr¨¢tico Venezolano;;;;;;;;;;x
social_democrat_VEN;ÃñÖ÷ĞĞ¶¯µ³;Acci¨®n Democr¨¢tica;Acci¨®n Democr¨¢tica;;Acci¨®n Democr¨¢tica;;;;;;;;;;x
left_wing_radical_VEN;¹²ºÍ½ø²½µ³;Partido Republicano Progresista;Partido Republicano Progresista;;Partido Republicano Progresista;;;;;;;;;;x
leninist_VEN;Î¯ÄÚÈğÀ­´óÖÚÁªÃË;Uni¨®n Popular Venezolana;Uni¨®n Popular Venezolana;;Uni¨®n Popular Venezolana;;;;;;;;;;x
stalinist_VEN;Î¯ÄÚÈğÀ­¹²²úµ³;Partido Comunista de Venezuela;Partido Comunista de Venezuela;;Partido Comunista de Venezuela;;;;;;;;;;x
national_socialist_VIC;´óÖÚÃñÖ÷µ³;PPF;PPF;;PPF;;;;;;;;;;x
fascistic_VIC;·¨Î÷Ë¹ÔË¶¯;Mouvement Franciste;Mouvement Franciste;;Mouvement Franciste;;;;;;;;;;x
paternal_autocrat_VIC;·¨¹úĞĞ¶¯µ³;Action Fran?aise;Action Fran?aise;;Action Fran?aise;;;;;;;;;;x
social_conservative_VIC;FR;FR;FR;;Fra;;;;;;;;;;x
